Name,Device,Width(cm),Distance(cm),Time(ms)
cxz,mouse,0.25,2,823.6470588235294
cxz,mouse,0.25,3,871.6470588235294
cxz,mouse,0.25,4,886.3333333333334
cxz,mouse,0.50,2,625.7777777777778
cxz,mouse,0.50,3,700.2941176470588
cxz,mouse,0.50,4,727.1176470588235
cxz,mouse,0.75,2,460.5
cxz,mouse,0.75,3,579.1111111111111
cxz,mouse,0.75,4,647.6666666666666
gjy,mouse,0.25,2,862.1764705882352
gjy,mouse,0.25,3,1023.2222222222222
gjy,mouse,0.25,4,1034.8823529411766
gjy,mouse,0.50,2,687.6111111111111
gjy,mouse,0.50,3,675.5555555555555
gjy,mouse,0.50,4,827.75
gjy,mouse,0.75,2,523.6666666666666
gjy,mouse,0.75,3,537.9411764705883
gjy,mouse,0.75,4,613.0
gqy,mouse,0.25,2,890.3076923076923
gqy,mouse,0.25,3,808.6
gqy,mouse,0.25,4,892.0625
gqy,mouse,0.50,2,621.1428571428571
gqy,mouse,0.50,3,587.2222222222222
gqy,mouse,0.50,4,722.625
gqy,mouse,0.75,2,509.2352941176471
gqy,mouse,0.75,3,608.0
gqy,mouse,0.75,4,622.2142857142857
hct,mouse,0.25,2,739.8823529411765
hct,mouse,0.25,3,767.6666666666666
hct,mouse,0.25,4,905.0588235294117
hct,mouse,0.50,2,494.11764705882354
hct,mouse,0.50,3,570.3529411764706
hct,mouse,0.50,4,682.0588235294117
hct,mouse,0.75,2,446.72222222222223
hct,mouse,0.75,3,483.77777777777777
hct,mouse,0.75,4,565.1764705882352
hanfengyan,mouse,0.25,2,643.2222222222222
hanfengyan,mouse,0.25,3,773.625
hanfengyan,mouse,0.25,4,803.3529411764706
hanfengyan,mouse,0.50,2,520.2222222222222
hanfengyan,mouse,0.50,3,663.0
hanfengyan,mouse,0.50,4,632.7058823529412
hanfengyan,mouse,0.75,2,453.0
hanfengyan,mouse,0.75,3,611.2222222222222
hanfengyan,mouse,0.75,4,594.0
lmq,mouse,0.25,2,745.7777777777778
lmq,mouse,0.25,3,901.0555555555555
lmq,mouse,0.25,4,1050.2777777777778
lmq,mouse,0.50,2,626.7777777777778
lmq,mouse,0.50,3,616.0588235294117
lmq,mouse,0.50,4,754.3333333333334
lmq,mouse,0.75,2,545.2777777777778
lmq,mouse,0.75,3,575.2222222222222
lmq,mouse,0.75,4,652.6111111111111
wbt,mouse,0.25,2,774.3076923076923
wbt,mouse,0.25,3,772.7058823529412
wbt,mouse,0.25,4,697.1875
wbt,mouse,0.50,2,653.125
wbt,mouse,0.50,3,688.1764705882352
wbt,mouse,0.50,4,670.625
wbt,mouse,0.75,2,576.4444444444445
wbt,mouse,0.75,3,591.5882352941177
wbt,mouse,0.75,4,641.3888888888889
zn,mouse,0.25,2,799.1666666666666
zn,mouse,0.25,3,826.3888888888889
zn,mouse,0.25,4,815.2352941176471
zn,mouse,0.50,2,605.2352941176471
zn,mouse,0.50,3,579.3333333333334
zn,mouse,0.50,4,574.3076923076923
zn,mouse,0.75,2,476.2
zn,mouse,0.75,3,536.5294117647059
zn,mouse,0.75,4,583.5555555555555
cxz,mobile,0.25,2,565.0
cxz,mobile,0.25,3,565.25
cxz,mobile,0.25,4,659.6
cxz,mobile,0.5,2,553.9230769230769
cxz,mobile,0.5,3,455.5882352941176
cxz,mobile,0.5,4,516.5555555555555
cxz,mobile,0.75,2,451.6111111111111
cxz,mobile,0.75,3,538.7222222222222
cxz,mobile,0.75,4,508.1111111111111
gjy,mobile,0.25,2,579.4
gjy,mobile,0.25,3,691.1818181818181
gjy,mobile,0.25,4,697.6153846153846
gjy,mobile,0.50,2,525.5714285714286
gjy,mobile,0.50,3,533.6666666666666
gjy,mobile,0.50,4,578.4
gjy,mobile,0.75,2,413.94444444444446
gjy,mobile,0.75,3,482.0
gjy,mobile,0.75,4,457.6111111111111
gqy,mobile,0.25,2,556.0
gqy,mobile,0.25,3,608.0
gqy,mobile,0.25,4,611.5833333333334
gqy,mobile,0.50,2,388.22222222222223
gqy,mobile,0.50,3,459.5
gqy,mobile,0.50,4,431.47058823529414
gqy,mobile,0.75,2,331.3333333333333
gqy,mobile,0.75,3,393.05555555555554
gqy,mobile,0.75,4,399.72222222222223
hct,mobile,0.25,2,423.2142857142857
hct,mobile,0.25,3,439.53846153846155
hct,mobile,0.25,4,480.4
hct,mobile,0.50,2,379.3888888888889
hct,mobile,0.50,3,413.72222222222223
hct,mobile,0.50,4,467.6666666666667
hct,mobile,0.75,2,330.55555555555554
hct,mobile,0.75,3,336.05555555555554
hct,mobile,0.75,4,373.27777777777777
hanfengyan,mobile,0.25,2,513.75
hanfengyan,mobile,0.25,3,434.88235294117646
hanfengyan,mobile,0.25,4,623.0
hanfengyan,mobile,0.50,2,461.92857142857144
hanfengyan,mobile,0.50,3,426.6666666666667
hanfengyan,mobile,0.50,4,515.625
hanfengyan,mobile,0.75,2,336.22222222222223
hanfengyan,mobile,0.75,3,416.3888888888889
hanfengyan,mobile,0.75,4,381.6666666666667
lmq,mobile,0.25,2,686.0
lmq,mobile,0.25,3,706.8
lmq,mobile,0.25,4,557.1
lmq,mobile,0.50,2,502.55555555555554
lmq,mobile,0.50,3,423.77777777777777
lmq,mobile,0.50,4,572.9444444444445
lmq,mobile,0.75,2,404.5
lmq,mobile,0.75,3,466.55555555555554
lmq,mobile,0.75,4,402.05555555555554
wbt,mobile,0.25,2,509.54545454545456
wbt,mobile,0.25,3,452.64285714285717
wbt,mobile,0.25,4,541.6666666666666
wbt,mobile,0.50,2,356.55555555555554
wbt,mobile,0.50,3,408.4117647058824
wbt,mobile,0.50,4,395.8125
wbt,mobile,0.75,2,232.0
wbt,mobile,0.75,3,238.94444444444446
wbt,mobile,0.75,4,383.1333333333333
zn,mobile,0.25,2,477.35714285714283
zn,mobile,0.25,3,532.625
zn,mobile,0.25,4,479.8
zn,mobile,0.50,2,456.77777777777777
zn,mobile,0.50,3,345.625
zn,mobile,0.50,4,340.53333333333336
zn,mobile,0.75,2,263.6111111111111
zn,mobile,0.75,3,254.27777777777777
zn,mobile,0.75,4,332.55555555555554
