Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
hct,mobile,0.25,2,0,0,true
hct,mobile,0.25,2,1,437,true
hct,mobile,0.25,2,2,387,false
hct,mobile,0.25,2,3,516,false
hct,mobile,0.25,2,4,444,true
hct,mobile,0.25,2,5,409,true
hct,mobile,0.25,2,6,423,true
hct,mobile,0.25,2,7,407,true
hct,mobile,0.25,2,8,419,true
hct,mobile,0.25,2,9,417,true
hct,mobile,0.25,2,10,428,true
hct,mobile,0.25,2,11,387,true
hct,mobile,0.25,2,12,426,true
hct,mobile,0.25,2,13,363,true
hct,mobile,0.25,2,14,456,true
hct,mobile,0.25,2,15,389,false
hct,mobile,0.25,2,16,445,true
hct,mobile,0.25,2,17,447,false
hct,mobile,0.25,2,18,464,true
hct,mobile,0.25,3,0,0,false
hct,mobile,0.25,3,1,547,true
hct,mobile,0.25,3,2,466,false
hct,mobile,0.25,3,3,497,true
hct,mobile,0.25,3,4,415,true
hct,mobile,0.25,3,5,498,false
hct,mobile,0.25,3,6,430,true
hct,mobile,0.25,3,7,439,true
hct,mobile,0.25,3,8,452,true
hct,mobile,0.25,3,9,440,true
hct,mobile,0.25,3,10,444,true
hct,mobile,0.25,3,11,474,false
hct,mobile,0.25,3,12,410,false
hct,mobile,0.25,3,13,414,true
hct,mobile,0.25,3,14,401,true
hct,mobile,0.25,3,15,416,true
hct,mobile,0.25,3,16,386,false
hct,mobile,0.25,3,17,448,true
hct,mobile,0.25,3,18,371,true
hct,mobile,0.25,4,0,0,false
hct,mobile,0.25,4,1,646,false
hct,mobile,0.25,4,2,571,true
hct,mobile,0.25,4,3,525,true
hct,mobile,0.25,4,4,544,false
hct,mobile,0.25,4,5,490,true
hct,mobile,0.25,4,6,459,false
hct,mobile,0.25,4,7,474,true
hct,mobile,0.25,4,8,451,true
hct,mobile,0.25,4,9,503,true
hct,mobile,0.25,4,10,491,true
hct,mobile,0.25,4,11,446,true
hct,mobile,0.25,4,12,479,false
hct,mobile,0.25,4,13,479,false
hct,mobile,0.25,4,14,490,false
hct,mobile,0.25,4,15,420,true
hct,mobile,0.25,4,16,436,false
hct,mobile,0.25,4,17,433,true
hct,mobile,0.25,4,18,445,false
hct,mobile,0.50,2,0,0,true
hct,mobile,0.50,2,1,370,true
hct,mobile,0.50,2,2,370,true
hct,mobile,0.50,2,3,407,true
hct,mobile,0.50,2,4,368,true
