Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
zn,mobile,0.25,2,0,0,true
zn,mobile,0.25,2,1,446,false
zn,mobile,0.25,2,2,439,true
zn,mobile,0.25,2,3,458,true
zn,mobile,0.25,2,4,532,true
zn,mobile,0.25,2,5,460,true
zn,mobile,0.25,2,6,504,true
zn,mobile,0.25,2,7,449,false
zn,mobile,0.25,2,8,383,true
zn,mobile,0.25,2,9,447,false
zn,mobile,0.25,2,10,434,true
zn,mobile,0.25,2,11,432,true
zn,mobile,0.25,2,12,511,true
zn,mobile,0.25,2,13,451,true
zn,mobile,0.25,2,14,520,true
zn,mobile,0.25,2,15,461,false
zn,mobile,0.25,2,16,524,true
zn,mobile,0.25,2,17,469,true
zn,mobile,0.25,2,18,566,true
zn,mobile,0.25,3,0,0,true
zn,mobile,0.25,3,1,713,true
zn,mobile,0.25,3,2,825,false
zn,mobile,0.25,3,3,586,true
zn,mobile,0.25,3,4,488,true
zn,mobile,0.25,3,5,492,true
zn,mobile,0.25,3,6,501,true
zn,mobile,0.25,3,7,572,true
zn,mobile,0.25,3,8,504,false
zn,mobile,0.25,3,9,575,true
zn,mobile,0.25,3,10,501,true
zn,mobile,0.25,3,11,555,true
zn,mobile,0.25,3,12,477,true
zn,mobile,0.25,3,13,567,true
zn,mobile,0.25,3,14,409,true
zn,mobile,0.25,3,15,573,true
zn,mobile,0.25,3,16,470,true
zn,mobile,0.25,3,17,594,true
zn,mobile,0.25,3,18,449,true
zn,mobile,0.25,4,0,0,true
zn,mobile,0.25,4,1,592,true
zn,mobile,0.25,4,2,386,true
zn,mobile,0.25,4,3,372,true
zn,mobile,0.25,4,4,299,true
zn,mobile,0.25,4,5,266,true
zn,mobile,0.25,4,6,277,false
zn,mobile,0.25,4,7,244,false
zn,mobile,0.25,4,8,272,true
zn,mobile,0.25,4,9,198,false
zn,mobile,0.25,4,10,264,false
zn,mobile,0.25,4,11,198,false
zn,mobile,0.25,4,12,260,false
zn,mobile,0.25,4,13,553,false
zn,mobile,0.25,4,14,519,false
zn,mobile,0.25,4,15,674,true
zn,mobile,0.25,4,16,587,true
zn,mobile,0.25,4,17,809,true
zn,mobile,0.25,4,18,541,true
zn,mobile,0.50,2,0,0,true
zn,mobile,0.50,2,1,557,true
zn,mobile,0.50,2,2,537,true
zn,mobile,0.50,2,3,859,true
zn,mobile,0.50,2,4,509,true
zn,mobile,0.50,2,5,458,true
zn,mobile,0.50,2,6,514,true
zn,mobile,0.50,2,7,454,true
zn,mobile,0.50,2,8,412,true
zn,mobile,0.50,2,9,401,true
zn,mobile,0.50,2,10,410,true
zn,mobile,0.50,2,11,385,true
zn,mobile,0.50,2,12,388,true
zn,mobile,0.50,2,13,462,true
zn,mobile,0.50,2,14,402,true
zn,mobile,0.50,2,15,377,true
zn,mobile,0.50,2,16,364,true
zn,mobile,0.50,2,17,365,true
zn,mobile,0.50,2,18,368,true
zn,mobile,0.50,3,0,0,true
zn,mobile,0.50,3,1,866,true
zn,mobile,0.50,3,2,507,true
zn,mobile,0.50,3,3,312,true
zn,mobile,0.50,3,4,332,true
zn,mobile,0.50,3,5,272,false
zn,mobile,0.50,3,6,255,true
zn,mobile,0.50,3,7,300,true
zn,mobile,0.50,3,8,303,true
zn,mobile,0.50,3,9,264,true
zn,mobile,0.50,3,10,251,true
zn,mobile,0.50,3,11,264,true
zn,mobile,0.50,3,12,261,true
zn,mobile,0.50,3,13,246,true
zn,mobile,0.50,3,14,291,false
zn,mobile,0.50,3,15,271,true
zn,mobile,0.50,3,16,365,true
zn,mobile,0.50,3,17,377,true
zn,mobile,0.50,3,18,356,true
zn,mobile,0.50,4,0,0,true
zn,mobile,0.50,4,1,436,true
zn,mobile,0.50,4,2,373,true
zn,mobile,0.50,4,3,438,true
zn,mobile,0.50,4,4,387,true
zn,mobile,0.50,4,5,365,true
zn,mobile,0.50,4,6,371,true
zn,mobile,0.50,4,7,351,true
zn,mobile,0.50,4,8,307,true
zn,mobile,0.50,4,9,331,true
zn,mobile,0.50,4,10,293,true
zn,mobile,0.50,4,11,277,true
zn,mobile,0.50,4,12,273,true
zn,mobile,0.50,4,13,295,false
zn,mobile,0.50,4,14,355,true
zn,mobile,0.50,4,15,290,true
zn,mobile,0.50,4,16,232,false
zn,mobile,0.50,4,17,261,true
zn,mobile,0.50,4,18,226,false
zn,mobile,0.75,2,0,0,false
zn,mobile,0.75,2,1,513,true
zn,mobile,0.75,2,2,258,true
zn,mobile,0.75,2,3,169,true
zn,mobile,0.75,2,4,203,true
zn,mobile,0.75,2,5,197,true
zn,mobile,0.75,2,6,207,true
zn,mobile,0.75,2,7,194,true
zn,mobile,0.75,2,8,195,true
zn,mobile,0.75,2,9,220,true
zn,mobile,0.75,2,10,215,true
zn,mobile,0.75,2,11,196,true
zn,mobile,0.75,2,12,419,true
zn,mobile,0.75,2,13,229,true
zn,mobile,0.75,2,14,263,true
zn,mobile,0.75,2,15,279,true
zn,mobile,0.75,2,16,282,true
zn,mobile,0.75,2,17,395,true
zn,mobile,0.75,2,18,311,true
zn,mobile,0.75,3,0,0,true
zn,mobile,0.75,3,1,477,true
zn,mobile,0.75,3,2,308,true
zn,mobile,0.75,3,3,294,true
zn,mobile,0.75,3,4,256,true
zn,mobile,0.75,3,5,251,true
zn,mobile,0.75,3,6,225,true
zn,mobile,0.75,3,7,262,true
zn,mobile,0.75,3,8,196,true
zn,mobile,0.75,3,9,250,true
zn,mobile,0.75,3,10,211,true
zn,mobile,0.75,3,11,249,true
zn,mobile,0.75,3,12,217,true
zn,mobile,0.75,3,13,251,true
zn,mobile,0.75,3,14,231,true
zn,mobile,0.75,3,15,248,true
zn,mobile,0.75,3,16,210,true
zn,mobile,0.75,3,17,219,true
zn,mobile,0.75,3,18,222,true
zn,mobile,0.75,4,0,0,true
zn,mobile,0.75,4,1,464,true
zn,mobile,0.75,4,2,898,true
zn,mobile,0.75,4,3,413,true
zn,mobile,0.75,4,4,335,true
zn,mobile,0.75,4,5,303,true
zn,mobile,0.75,4,6,320,true
zn,mobile,0.75,4,7,303,true
zn,mobile,0.75,4,8,338,true
zn,mobile,0.75,4,9,308,true
zn,mobile,0.75,4,10,271,true
zn,mobile,0.75,4,11,283,true
zn,mobile,0.75,4,12,268,true
zn,mobile,0.75,4,13,266,true
zn,mobile,0.75,4,14,232,true
zn,mobile,0.75,4,15,265,true
zn,mobile,0.75,4,16,219,true
zn,mobile,0.75,4,17,271,true
zn,mobile,0.75,4,18,229,true
