Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
cxz,mouse,0.25,2,0,0,true
cxz,mouse,0.25,2,1,1112,true
cxz,mouse,0.25,2,2,792,true
cxz,mouse,0.25,2,3,857,true
cxz,mouse,0.25,2,4,527,false
cxz,mouse,0.25,2,5,784,true
cxz,mouse,0.25,2,6,689,true
cxz,mouse,0.25,2,7,640,true
cxz,mouse,0.25,2,8,760,true
cxz,mouse,0.25,2,9,927,true
cxz,mouse,0.25,2,10,760,true
cxz,mouse,0.25,2,11,890,true
cxz,mouse,0.25,2,12,583,true
cxz,mouse,0.25,2,13,656,true
cxz,mouse,0.25,2,14,537,true
cxz,mouse,0.25,2,15,1070,true
cxz,mouse,0.25,2,16,977,true
cxz,mouse,0.25,2,17,872,true
cxz,mouse,0.25,2,18,1096,true
cxz,mouse,0.25,3,0,0,true
cxz,mouse,0.25,3,1,1049,true
cxz,mouse,0.25,3,2,728,true
cxz,mouse,0.25,3,3,1009,true
cxz,mouse,0.25,3,4,862,true
cxz,mouse,0.25,3,5,857,true
cxz,mouse,0.25,3,6,784,true
cxz,mouse,0.25,3,7,992,true
cxz,mouse,0.25,3,8,672,true
cxz,mouse,0.25,3,9,777,true
cxz,mouse,0.25,3,10,736,true
cxz,mouse,0.25,3,11,487,true
cxz,mouse,0.25,3,12,552,false
cxz,mouse,0.25,3,13,1185,true
cxz,mouse,0.25,3,14,800,true
cxz,mouse,0.25,3,15,984,true
cxz,mouse,0.25,3,16,864,true
cxz,mouse,0.25,3,17,1169,true
cxz,mouse,0.25,3,18,863,true
cxz,mouse,0.25,4,0,0,true
cxz,mouse,0.25,4,1,816,true
cxz,mouse,0.25,4,2,904,true
cxz,mouse,0.25,4,3,1344,true
cxz,mouse,0.25,4,4,768,true
cxz,mouse,0.25,4,5,897,true
cxz,mouse,0.25,4,6,816,true
cxz,mouse,0.25,4,7,1143,true
cxz,mouse,0.25,4,8,921,true
cxz,mouse,0.25,4,9,807,true
cxz,mouse,0.25,4,10,729,true
cxz,mouse,0.25,4,11,920,true
cxz,mouse,0.25,4,12,752,true
cxz,mouse,0.25,4,13,992,true
cxz,mouse,0.25,4,14,1000,true
cxz,mouse,0.25,4,15,896,true
cxz,mouse,0.25,4,16,752,true
cxz,mouse,0.25,4,17,648,true
cxz,mouse,0.25,4,18,849,true
cxz,mouse,0.50,2,0,0,true
cxz,mouse,0.50,2,1,831,true
cxz,mouse,0.50,2,2,506,true
cxz,mouse,0.50,2,3,520,true
cxz,mouse,0.50,2,4,487,true
cxz,mouse,0.50,2,5,536,true
cxz,mouse,0.50,2,6,744,true
cxz,mouse,0.50,2,7,465,true
cxz,mouse,0.50,2,8,623,true
cxz,mouse,0.50,2,9,784,true
cxz,mouse,0.50,2,10,608,true
cxz,mouse,0.50,2,11,633,true
cxz,mouse,0.50,2,12,695,true
cxz,mouse,0.50,2,13,481,true
cxz,mouse,0.50,2,14,569,true
cxz,mouse,0.50,2,15,551,true
cxz,mouse,0.50,2,16,809,true
cxz,mouse,0.50,2,17,623,true
cxz,mouse,0.50,2,18,799,true
cxz,mouse,0.50,3,0,0,true
cxz,mouse,0.50,3,1,647,true
cxz,mouse,0.50,3,2,697,true
cxz,mouse,0.50,3,3,520,false
cxz,mouse,0.50,3,4,936,true
cxz,mouse,0.50,3,5,577,true
cxz,mouse,0.50,3,6,663,true
cxz,mouse,0.50,3,7,632,true
cxz,mouse,0.50,3,8,681,true
cxz,mouse,0.50,3,9,752,true
cxz,mouse,0.50,3,10,768,true
cxz,mouse,0.50,3,11,808,true
cxz,mouse,0.50,3,12,824,true
cxz,mouse,0.50,3,13,559,true
cxz,mouse,0.50,3,14,569,true
cxz,mouse,0.50,3,15,728,true
cxz,mouse,0.50,3,16,664,true
cxz,mouse,0.50,3,17,705,true
cxz,mouse,0.50,3,18,695,true
