Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
gjy,mouse,0.25,2,0,0,true
gjy,mouse,0.25,2,1,1023,true
gjy,mouse,0.25,2,2,767,true
gjy,mouse,0.25,2,3,704,true
gjy,mouse,0.25,2,4,696,true
gjy,mouse,0.25,2,5,920,true
gjy,mouse,0.25,2,6,1131,true
gjy,mouse,0.25,2,7,701,true
gjy,mouse,0.25,2,8,929,true
gjy,mouse,0.25,2,9,799,true
gjy,mouse,0.25,2,10,1305,true
gjy,mouse,0.25,2,11,608,true
gjy,mouse,0.25,2,12,959,true
gjy,mouse,0.25,2,13,753,true
gjy,mouse,0.25,2,14,560,true
gjy,mouse,0.25,2,15,720,true
gjy,mouse,0.25,2,16,906,true
gjy,mouse,0.25,2,17,926,false
gjy,mouse,0.25,2,18,1176,true
gjy,mouse,0.25,3,0,0,true
gjy,mouse,0.25,3,1,1312,true
gjy,mouse,0.25,3,2,872,true
gjy,mouse,0.25,3,3,1056,true
gjy,mouse,0.25,3,4,1353,true
gjy,mouse,0.25,3,5,953,true
gjy,mouse,0.25,3,6,1247,true
gjy,mouse,0.25,3,7,943,true
gjy,mouse,0.25,3,8,1152,true
gjy,mouse,0.25,3,9,968,true
gjy,mouse,0.25,3,10,936,true
gjy,mouse,0.25,3,11,801,true
gjy,mouse,0.25,3,12,1040,true
gjy,mouse,0.25,3,13,928,true
gjy,mouse,0.25,3,14,1081,true
gjy,mouse,0.25,3,15,880,true
gjy,mouse,0.25,3,16,967,true
gjy,mouse,0.25,3,17,912,true
gjy,mouse,0.25,3,18,1017,true
gjy,mouse,0.25,4,0,0,true
gjy,mouse,0.25,4,1,713,true
gjy,mouse,0.25,4,2,1270,true
gjy,mouse,0.25,4,3,576,true
gjy,mouse,0.25,4,4,1184,true
gjy,mouse,0.25,4,5,1009,true
gjy,mouse,0.25,4,6,1128,true
gjy,mouse,0.25,4,7,872,false
gjy,mouse,0.25,4,8,1144,true
gjy,mouse,0.25,4,9,969,true
gjy,mouse,0.25,4,10,1000,true
gjy,mouse,0.25,4,11,1145,true
gjy,mouse,0.25,4,12,1134,true
gjy,mouse,0.25,4,13,1153,true
gjy,mouse,0.25,4,14,1144,true
gjy,mouse,0.25,4,15,896,true
gjy,mouse,0.25,4,16,1207,true
gjy,mouse,0.25,4,17,930,true
gjy,mouse,0.25,4,18,991,true
gjy,mouse,0.50,2,0,0,true
gjy,mouse,0.50,2,1,847,true
gjy,mouse,0.50,2,2,672,true
gjy,mouse,0.50,2,3,663,true
gjy,mouse,0.50,2,4,875,true
gjy,mouse,0.50,2,5,478,true
gjy,mouse,0.50,2,6,785,true
gjy,mouse,0.50,2,7,582,true
gjy,mouse,0.50,2,8,728,true
gjy,mouse,0.50,2,9,529,true
gjy,mouse,0.50,2,10,609,true
gjy,mouse,0.50,2,11,839,true
gjy,mouse,0.50,2,12,552,true
gjy,mouse,0.50,2,13,656,true
gjy,mouse,0.50,2,14,616,true
gjy,mouse,0.50,2,15,640,true
gjy,mouse,0.50,2,16,721,true
gjy,mouse,0.50,2,17,760,true
gjy,mouse,0.50,2,18,825,true
gjy,mouse,0.50,3,0,0,true
gjy,mouse,0.50,3,1,751,true
gjy,mouse,0.50,3,2,704,true
gjy,mouse,0.50,3,3,784,true
gjy,mouse,0.50,3,4,680,true
gjy,mouse,0.50,3,5,721,true
gjy,mouse,0.50,3,6,607,true
gjy,mouse,0.50,3,7,672,true
gjy,mouse,0.50,3,8,552,true
gjy,mouse,0.50,3,9,656,true
gjy,mouse,0.50,3,10,568,true
gjy,mouse,0.50,3,11,512,true
gjy,mouse,0.50,3,12,520,true
gjy,mouse,0.50,3,13,641,true
gjy,mouse,0.50,3,14,568,true
gjy,mouse,0.50,3,15,655,true
gjy,mouse,0.50,3,16,1251,true
gjy,mouse,0.50,3,17,582,true
gjy,mouse,0.50,3,18,736,true
gjy,mouse,0.50,4,0,0,true
gjy,mouse,0.50,4,1,639,false
gjy,mouse,0.50,4,2,1513,true
gjy,mouse,0.50,4,3,760,true
gjy,mouse,0.50,4,4,623,true
gjy,mouse,0.50,4,5,729,true
gjy,mouse,0.50,4,6,633,true
gjy,mouse,0.50,4,7,583,true
gjy,mouse,0.50,4,8,664,true
gjy,mouse,0.50,4,9,607,true
gjy,mouse,0.50,4,10,882,true
gjy,mouse,0.50,4,11,543,true
gjy,mouse,0.50,4,12,713,true
gjy,mouse,0.50,4,13,960,false
gjy,mouse,0.50,4,14,1223,true
gjy,mouse,0.50,4,15,912,true
gjy,mouse,0.50,4,16,873,true
gjy,mouse,0.50,4,17,929,true
gjy,mouse,0.50,4,18,1057,true
gjy,mouse,0.75,2,0,0,true
gjy,mouse,0.75,2,1,576,true
gjy,mouse,0.75,2,2,680,true
gjy,mouse,0.75,2,3,529,true
gjy,mouse,0.75,2,4,496,true
gjy,mouse,0.75,2,5,560,true
gjy,mouse,0.75,2,6,488,true
gjy,mouse,0.75,2,7,442,true
gjy,mouse,0.75,2,8,470,true
gjy,mouse,0.75,2,9,432,true
gjy,mouse,0.75,2,10,520,true
gjy,mouse,0.75,2,11,473,true
gjy,mouse,0.75,2,12,544,true
gjy,mouse,0.75,2,13,599,true
gjy,mouse,0.75,2,14,480,true
gjy,mouse,0.75,2,15,664,true
gjy,mouse,0.75,2,16,512,true
gjy,mouse,0.75,2,17,489,true
gjy,mouse,0.75,2,18,472,true
gjy,mouse,0.75,3,0,0,true
gjy,mouse,0.75,3,1,496,true
gjy,mouse,0.75,3,2,488,true
gjy,mouse,0.75,3,3,672,true
gjy,mouse,0.75,3,4,552,true
gjy,mouse,0.75,3,5,488,true
gjy,mouse,0.75,3,6,529,true
gjy,mouse,0.75,3,7,432,true
gjy,mouse,0.75,3,8,506,true
gjy,mouse,0.75,3,9,703,true
gjy,mouse,0.75,3,10,478,true
gjy,mouse,0.75,3,11,425,true
gjy,mouse,0.75,3,12,472,true
gjy,mouse,0.75,3,13,592,true
gjy,mouse,0.75,3,14,472,false
gjy,mouse,0.75,3,15,792,true
gjy,mouse,0.75,3,16,512,true
gjy,mouse,0.75,3,17,569,true
gjy,mouse,0.75,3,18,439,true
gjy,mouse,0.75,4,0,0,true
gjy,mouse,0.75,4,1,559,true
gjy,mouse,0.75,4,2,672,true
gjy,mouse,0.75,4,3,512,true
gjy,mouse,0.75,4,4,657,true
gjy,mouse,0.75,4,5,552,true
gjy,mouse,0.75,4,6,521,true
gjy,mouse,0.75,4,7,679,true
gjy,mouse,0.75,4,8,689,true
gjy,mouse,0.75,4,9,647,true
gjy,mouse,0.75,4,10,647,true
gjy,mouse,0.75,4,11,505,true
gjy,mouse,0.75,4,12,712,true
gjy,mouse,0.75,4,13,608,true
gjy,mouse,0.75,4,14,736,true
gjy,mouse,0.75,4,15,544,true
gjy,mouse,0.75,4,16,584,true
gjy,mouse,0.75,4,17,585,true
gjy,mouse,0.75,4,18,625,true
