Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
hanfengyan,mouse,0.25,2,0,0,true
hanfengyan,mouse,0.25,2,1,612,true
hanfengyan,mouse,0.25,2,2,507,true
hanfengyan,mouse,0.25,2,3,709,true
hanfengyan,mouse,0.25,2,4,668,true
hanfengyan,mouse,0.25,2,5,674,true
hanfengyan,mouse,0.25,2,6,630,true
hanfengyan,mouse,0.25,2,7,682,true
hanfengyan,mouse,0.25,2,8,529,true
hanfengyan,mouse,0.25,2,9,548,true
hanfengyan,mouse,0.25,2,10,851,true
hanfengyan,mouse,0.25,2,11,520,true
hanfengyan,mouse,0.25,2,12,656,true
hanfengyan,mouse,0.25,2,13,604,true
hanfengyan,mouse,0.25,2,14,774,true
hanfengyan,mouse,0.25,2,15,492,true
hanfengyan,mouse,0.25,2,16,761,true
hanfengyan,mouse,0.25,2,17,627,true
hanfengyan,mouse,0.25,2,18,734,true
hanfengyan,mouse,0.25,3,0,0,true
hanfengyan,mouse,0.25,3,1,666,true
hanfengyan,mouse,0.25,3,2,796,true
hanfengyan,mouse,0.25,3,3,696,true
hanfengyan,mouse,0.25,3,4,694,true
hanfengyan,mouse,0.25,3,5,922,true
hanfengyan,mouse,0.25,3,6,532,false
hanfengyan,mouse,0.25,3,7,648,true
hanfengyan,mouse,0.25,3,8,782,true
hanfengyan,mouse,0.25,3,9,1098,true
hanfengyan,mouse,0.25,3,10,900,true
hanfengyan,mouse,0.25,3,11,606,true
hanfengyan,mouse,0.25,3,12,828,true
hanfengyan,mouse,0.25,3,13,726,true
hanfengyan,mouse,0.25,3,14,854,true
hanfengyan,mouse,0.25,3,15,762,true
hanfengyan,mouse,0.25,3,16,702,false
hanfengyan,mouse,0.25,3,17,648,true
hanfengyan,mouse,0.25,3,18,752,true
hanfengyan,mouse,0.25,4,0,0,true
hanfengyan,mouse,0.25,4,1,850,true
hanfengyan,mouse,0.25,4,2,657,true
hanfengyan,mouse,0.25,4,3,743,true
hanfengyan,mouse,0.25,4,4,705,true
hanfengyan,mouse,0.25,4,5,806,true
hanfengyan,mouse,0.25,4,6,886,true
hanfengyan,mouse,0.25,4,7,866,true
hanfengyan,mouse,0.25,4,8,738,true
hanfengyan,mouse,0.25,4,9,618,true
hanfengyan,mouse,0.25,4,10,656,true
hanfengyan,mouse,0.25,4,11,1086,true
hanfengyan,mouse,0.25,4,12,723,false
hanfengyan,mouse,0.25,4,13,866,true
hanfengyan,mouse,0.25,4,14,951,true
hanfengyan,mouse,0.25,4,15,820,true
hanfengyan,mouse,0.25,4,16,811,true
hanfengyan,mouse,0.25,4,17,807,true
hanfengyan,mouse,0.25,4,18,791,true
hanfengyan,mouse,0.50,2,0,0,true
hanfengyan,mouse,0.50,2,1,477,true
hanfengyan,mouse,0.50,2,2,413,true
hanfengyan,mouse,0.50,2,3,456,true
hanfengyan,mouse,0.50,2,4,523,true
hanfengyan,mouse,0.50,2,5,659,true
hanfengyan,mouse,0.50,2,6,571,true
hanfengyan,mouse,0.50,2,7,477,true
hanfengyan,mouse,0.50,2,8,456,true
hanfengyan,mouse,0.50,2,9,482,true
hanfengyan,mouse,0.50,2,10,524,true
hanfengyan,mouse,0.50,2,11,512,true
hanfengyan,mouse,0.50,2,12,733,true
hanfengyan,mouse,0.50,2,13,489,true
hanfengyan,mouse,0.50,2,14,478,true
hanfengyan,mouse,0.50,2,15,510,true
hanfengyan,mouse,0.50,2,16,476,true
hanfengyan,mouse,0.50,2,17,430,true
hanfengyan,mouse,0.50,2,18,698,true
hanfengyan,mouse,0.50,3,0,0,true
hanfengyan,mouse,0.50,3,1,830,true
hanfengyan,mouse,0.50,3,2,683,true
hanfengyan,mouse,0.50,3,3,731,true
hanfengyan,mouse,0.50,3,4,514,true
hanfengyan,mouse,0.50,3,5,858,true
hanfengyan,mouse,0.50,3,6,496,true
hanfengyan,mouse,0.50,3,7,1026,true
hanfengyan,mouse,0.50,3,8,626,true
hanfengyan,mouse,0.50,3,9,728,true
hanfengyan,mouse,0.50,3,10,470,true
hanfengyan,mouse,0.50,3,11,648,true
hanfengyan,mouse,0.50,3,12,658,true
hanfengyan,mouse,0.50,3,13,574,true
hanfengyan,mouse,0.50,3,14,456,true
hanfengyan,mouse,0.50,3,15,802,true
hanfengyan,mouse,0.50,3,16,476,true
hanfengyan,mouse,0.50,3,17,645,true
hanfengyan,mouse,0.50,3,18,713,true
hanfengyan,mouse,0.50,4,0,0,true
hanfengyan,mouse,0.50,4,1,636,true
hanfengyan,mouse,0.50,4,2,584,true
hanfengyan,mouse,0.50,4,3,584,true
hanfengyan,mouse,0.50,4,4,672,true
hanfengyan,mouse,0.50,4,5,615,true
hanfengyan,mouse,0.50,4,6,642,true
hanfengyan,mouse,0.50,4,7,551,true
hanfengyan,mouse,0.50,4,8,556,true
hanfengyan,mouse,0.50,4,9,540,false
hanfengyan,mouse,0.50,4,10,672,true
hanfengyan,mouse,0.50,4,11,624,true
hanfengyan,mouse,0.50,4,12,562,true
hanfengyan,mouse,0.50,4,13,820,true
hanfengyan,mouse,0.50,4,14,563,true
hanfengyan,mouse,0.50,4,15,746,true
hanfengyan,mouse,0.50,4,16,571,true
hanfengyan,mouse,0.50,4,17,766,true
hanfengyan,mouse,0.50,4,18,592,true
hanfengyan,mouse,0.75,2,0,0,true
hanfengyan,mouse,0.75,2,1,434,true
hanfengyan,mouse,0.75,2,2,500,true
hanfengyan,mouse,0.75,2,3,426,true
hanfengyan,mouse,0.75,2,4,408,true
hanfengyan,mouse,0.75,2,5,418,true
hanfengyan,mouse,0.75,2,6,445,true
hanfengyan,mouse,0.75,2,7,377,true
hanfengyan,mouse,0.75,2,8,426,true
hanfengyan,mouse,0.75,2,9,392,true
hanfengyan,mouse,0.75,2,10,504,true
hanfengyan,mouse,0.75,2,11,462,true
hanfengyan,mouse,0.75,2,12,508,true
hanfengyan,mouse,0.75,2,13,576,true
hanfengyan,mouse,0.75,2,14,524,true
hanfengyan,mouse,0.75,2,15,466,true
hanfengyan,mouse,0.75,2,16,410,true
hanfengyan,mouse,0.75,2,17,385,true
hanfengyan,mouse,0.75,2,18,493,true
hanfengyan,mouse,0.75,3,0,0,true
hanfengyan,mouse,0.75,3,1,492,true
hanfengyan,mouse,0.75,3,2,768,true
hanfengyan,mouse,0.75,3,3,614,true
hanfengyan,mouse,0.75,3,4,695,true
hanfengyan,mouse,0.75,3,5,569,true
hanfengyan,mouse,0.75,3,6,656,true
hanfengyan,mouse,0.75,3,7,516,true
hanfengyan,mouse,0.75,3,8,519,true
hanfengyan,mouse,0.75,3,9,596,true
hanfengyan,mouse,0.75,3,10,709,true
hanfengyan,mouse,0.75,3,11,624,true
hanfengyan,mouse,0.75,3,12,636,true
hanfengyan,mouse,0.75,3,13,556,true
hanfengyan,mouse,0.75,3,14,664,true
hanfengyan,mouse,0.75,3,15,484,true
hanfengyan,mouse,0.75,3,16,660,true
hanfengyan,mouse,0.75,3,17,628,true
hanfengyan,mouse,0.75,3,18,616,true
hanfengyan,mouse,0.75,4,0,0,true
hanfengyan,mouse,0.75,4,1,628,true
hanfengyan,mouse,0.75,4,2,700,true
hanfengyan,mouse,0.75,4,3,522,true
hanfengyan,mouse,0.75,4,4,606,true
hanfengyan,mouse,0.75,4,5,504,true
hanfengyan,mouse,0.75,4,6,648,true
hanfengyan,mouse,0.75,4,7,572,true
hanfengyan,mouse,0.75,4,8,466,true
hanfengyan,mouse,0.75,4,9,520,true
hanfengyan,mouse,0.75,4,10,508,true
hanfengyan,mouse,0.75,4,11,568,true
hanfengyan,mouse,0.75,4,12,544,true
hanfengyan,mouse,0.75,4,13,530,true
hanfengyan,mouse,0.75,4,14,620,true
hanfengyan,mouse,0.75,4,15,687,true
hanfengyan,mouse,0.75,4,16,747,true
hanfengyan,mouse,0.75,4,17,524,true
hanfengyan,mouse,0.75,4,18,798,true
