Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
lmq,mouse,0.25,2,0,0,true
lmq,mouse,0.25,2,1,703,true
lmq,mouse,0.25,2,2,1016,true
lmq,mouse,0.25,2,3,935,true
lmq,mouse,0.25,2,4,713,true
lmq,mouse,0.25,2,5,544,true
lmq,mouse,0.25,2,6,560,true
lmq,mouse,0.25,2,7,746,true
lmq,mouse,0.25,2,8,662,true
lmq,mouse,0.25,2,9,879,true
lmq,mouse,0.25,2,10,842,true
lmq,mouse,0.25,2,11,791,true
lmq,mouse,0.25,2,12,760,true
lmq,mouse,0.25,2,13,760,true
lmq,mouse,0.25,2,14,546,true
lmq,mouse,0.25,2,15,830,true
lmq,mouse,0.25,2,16,504,true
lmq,mouse,0.25,2,17,928,true
lmq,mouse,0.25,2,18,705,true
lmq,mouse,0.25,3,0,0,true
lmq,mouse,0.25,3,1,897,true
lmq,mouse,0.25,3,2,896,true
lmq,mouse,0.25,3,3,1113,true
lmq,mouse,0.25,3,4,719,true
lmq,mouse,0.25,3,5,956,true
lmq,mouse,0.25,3,6,734,true
lmq,mouse,0.25,3,7,895,true
lmq,mouse,0.25,3,8,825,true
lmq,mouse,0.25,3,9,824,true
lmq,mouse,0.25,3,10,1050,true
lmq,mouse,0.25,3,11,990,true
lmq,mouse,0.25,3,12,626,true
lmq,mouse,0.25,3,13,965,true
lmq,mouse,0.25,3,14,1049,true
lmq,mouse,0.25,3,15,1137,true
lmq,mouse,0.25,3,16,1111,true
lmq,mouse,0.25,3,17,847,true
lmq,mouse,0.25,3,18,585,true
lmq,mouse,0.25,4,0,0,true
lmq,mouse,0.25,4,1,1927,true
lmq,mouse,0.25,4,2,1120,true
lmq,mouse,0.25,4,3,1010,true
lmq,mouse,0.25,4,4,1169,true
lmq,mouse,0.25,4,5,951,true
lmq,mouse,0.25,4,6,1256,true
lmq,mouse,0.25,4,7,935,true
lmq,mouse,0.25,4,8,935,true
lmq,mouse,0.25,4,9,1066,true
lmq,mouse,0.25,4,10,879,true
lmq,mouse,0.25,4,11,800,true
lmq,mouse,0.25,4,12,1089,true
lmq,mouse,0.25,4,13,816,true
lmq,mouse,0.25,4,14,1439,true
lmq,mouse,0.25,4,15,825,true
lmq,mouse,0.25,4,16,777,true
lmq,mouse,0.25,4,17,865,true
lmq,mouse,0.25,4,18,1046,true
lmq,mouse,0.50,2,0,0,true
