Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
zn,mouse,0.25,2,0,0,true
zn,mouse,0.25,2,1,944,true
zn,mouse,0.25,2,2,968,true
zn,mouse,0.25,2,3,856,true
zn,mouse,0.25,2,4,1120,true
zn,mouse,0.25,2,5,929,true
zn,mouse,0.25,2,6,936,true
zn,mouse,0.25,2,7,808,true
zn,mouse,0.25,2,8,839,true
zn,mouse,0.25,2,9,639,true
zn,mouse,0.25,2,10,594,true
zn,mouse,0.25,2,11,759,true
zn,mouse,0.25,2,12,562,true
zn,mouse,0.25,2,13,671,true
zn,mouse,0.25,2,14,762,true
zn,mouse,0.25,2,15,814,true
zn,mouse,0.25,2,16,842,true
zn,mouse,0.25,2,17,729,true
zn,mouse,0.25,2,18,613,true
zn,mouse,0.25,3,0,0,true
zn,mouse,0.25,3,1,783,true
zn,mouse,0.25,3,2,752,true
zn,mouse,0.25,3,3,832,true
zn,mouse,0.25,3,4,864,true
zn,mouse,0.25,3,5,1137,true
zn,mouse,0.25,3,6,944,true
zn,mouse,0.25,3,7,703,true
zn,mouse,0.25,3,8,586,true
zn,mouse,0.25,3,9,727,true
zn,mouse,0.25,3,10,744,true
zn,mouse,0.25,3,11,680,true
zn,mouse,0.25,3,12,792,true
zn,mouse,0.25,3,13,714,true
zn,mouse,0.25,3,14,774,true
zn,mouse,0.25,3,15,873,true
zn,mouse,0.25,3,16,1112,true
zn,mouse,0.25,3,17,928,true
zn,mouse,0.25,3,18,930,true
zn,mouse,0.25,4,0,0,true
zn,mouse,0.25,4,1,593,true
zn,mouse,0.25,4,2,816,true
zn,mouse,0.25,4,3,728,true
zn,mouse,0.25,4,4,561,true
zn,mouse,0.25,4,5,855,true
zn,mouse,0.25,4,6,704,true
zn,mouse,0.25,4,7,770,true
zn,mouse,0.25,4,8,614,true
zn,mouse,0.25,4,9,864,false
zn,mouse,0.25,4,10,1000,true
zn,mouse,0.25,4,11,1065,true
zn,mouse,0.25,4,12,873,true
zn,mouse,0.25,4,13,879,true
