Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
cxz,mobile,0.25,2,0,0,TRUE
cxz,mobile,0.25,2,1,436,FALSE
cxz,mobile,0.25,2,2,433,FALSE
cxz,mobile,0.25,2,3,440,TRUE
cxz,mobile,0.25,2,4,560,FALSE
cxz,mobile,0.25,2,5,492,FALSE
cxz,mobile,0.25,2,6,531,FALSE
cxz,mobile,0.25,2,7,518,FALSE
cxz,mobile,0.25,2,8,510,FALSE
cxz,mobile,0.25,2,9,483,FALSE
cxz,mobile,0.25,2,10,575,FALSE
cxz,mobile,0.25,2,11,527,FALSE
cxz,mobile,0.25,2,12,641,TRUE
cxz,mobile,0.25,2,13,512,FALSE
cxz,mobile,0.25,2,14,612,FALSE
cxz,mobile,0.25,2,15,529,FALSE
cxz,mobile,0.25,2,16,606,FALSE
cxz,mobile,0.25,2,17,578,FALSE
cxz,mobile,0.25,2,18,614,TRUE
cxz,mobile,0.25,3,0,0,TRUE
cxz,mobile,0.25,3,1,601,FALSE
cxz,mobile,0.25,3,2,572,FALSE
cxz,mobile,0.25,3,3,607,FALSE
cxz,mobile,0.25,3,4,596,FALSE
cxz,mobile,0.25,3,5,682,FALSE
cxz,mobile,0.25,3,6,542,FALSE
cxz,mobile,0.25,3,7,602,TRUE
cxz,mobile,0.25,3,8,618,TRUE
cxz,mobile,0.25,3,9,608,FALSE
cxz,mobile,0.25,3,10,589,FALSE
cxz,mobile,0.25,3,11,663,FALSE
cxz,mobile,0.25,3,12,509,TRUE
cxz,mobile,0.25,3,13,640,FALSE
cxz,mobile,0.25,3,14,540,FALSE
cxz,mobile,0.25,3,15,610,FALSE
cxz,mobile,0.25,3,16,532,TRUE
cxz,mobile,0.25,3,17,619,FALSE
cxz,mobile,0.25,3,18,624,FALSE
cxz,mobile,0.25,4,0,0,TRUE
cxz,mobile,0.25,4,1,676,FALSE
cxz,mobile,0.25,4,2,620,FALSE
cxz,mobile,0.25,4,3,649,FALSE
cxz,mobile,0.25,4,4,681,FALSE
cxz,mobile,0.25,4,5,668,FALSE
cxz,mobile,0.25,4,6,701,TRUE
cxz,mobile,0.25,4,7,589,TRUE
cxz,mobile,0.25,4,8,645,TRUE
cxz,mobile,0.25,4,9,620,FALSE
cxz,mobile,0.25,4,10,681,FALSE
cxz,mobile,0.25,4,11,640,FALSE
cxz,mobile,0.25,4,12,752,TRUE
cxz,mobile,0.25,4,13,611,TRUE
cxz,mobile,0.25,4,14,715,FALSE
cxz,mobile,0.25,4,15,657,FALSE
cxz,mobile,0.25,4,16,731,FALSE
cxz,mobile,0.25,4,17,639,FALSE
cxz,mobile,0.25,4,18,985,FALSE
cxz,mobile,0.5,2,0,0,TRUE
cxz,mobile,0.5,2,1,563,TRUE
cxz,mobile,0.5,2,2,546,TRUE
cxz,mobile,0.5,2,3,503,TRUE
cxz,mobile,0.5,2,4,547,TRUE
cxz,mobile,0.5,2,5,495,TRUE
cxz,mobile,0.5,2,6,548,TRUE
cxz,mobile,0.5,2,7,516,FALSE
cxz,mobile,0.5,2,8,509,TRUE
cxz,mobile,0.5,2,9,578,FALSE
cxz,mobile,0.5,2,10,649,TRUE
cxz,mobile,0.5,2,11,524,FALSE
cxz,mobile,0.5,2,12,632,TRUE
cxz,mobile,0.5,2,13,444,TRUE
cxz,mobile,0.5,2,14,642,TRUE
cxz,mobile,0.5,2,15,505,FALSE
cxz,mobile,0.5,2,16,603,TRUE
cxz,mobile,0.5,2,17,520,TRUE
cxz,mobile,0.5,2,18,614,FALSE
cxz,mobile,0.5,3,0,0,TRUE
cxz,mobile,0.5,3,1,527,TRUE
cxz,mobile,0.5,3,2,441,TRUE
