Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
gqy,mobile,0.25,2,0,0,false
gqy,mobile,0.25,2,1,673,true
gqy,mobile,0.25,2,2,562,false
gqy,mobile,0.25,2,3,523,true
gqy,mobile,0.25,2,4,590,true
gqy,mobile,0.25,2,5,552,true
gqy,mobile,0.25,2,6,579,false
gqy,mobile,0.25,2,7,572,true
gqy,mobile,0.25,2,8,653,true
gqy,mobile,0.25,2,9,528,true
gqy,mobile,0.25,2,10,616,true
gqy,mobile,0.25,2,11,523,true
gqy,mobile,0.25,2,12,562,true
gqy,mobile,0.25,2,13,487,true
gqy,mobile,0.25,2,14,563,true
gqy,mobile,0.25,2,15,512,true
gqy,mobile,0.25,2,16,527,true
gqy,mobile,0.25,2,17,459,true
gqy,mobile,0.25,2,18,453,false
gqy,mobile,0.25,3,0,0,false
gqy,mobile,0.25,3,1,615,false
gqy,mobile,0.25,3,2,736,false
gqy,mobile,0.25,3,3,700,true
gqy,mobile,0.25,3,4,698,false
gqy,mobile,0.25,3,5,644,true
gqy,mobile,0.25,3,6,666,true
gqy,mobile,0.25,3,7,644,true
gqy,mobile,0.25,3,8,615,true
gqy,mobile,0.25,3,9,638,true
gqy,mobile,0.25,3,10,565,true
gqy,mobile,0.25,3,11,607,true
gqy,mobile,0.25,3,12,562,true
gqy,mobile,0.25,3,13,605,true
gqy,mobile,0.25,3,14,582,true
gqy,mobile,0.25,3,15,603,true
gqy,mobile,0.25,3,16,491,true
gqy,mobile,0.25,3,17,590,true
gqy,mobile,0.25,3,18,446,false
gqy,mobile,0.25,4,0,0,true
gqy,mobile,0.25,4,1,699,true
gqy,mobile,0.25,4,2,550,false
gqy,mobile,0.25,4,3,593,true
gqy,mobile,0.25,4,4,528,false
gqy,mobile,0.25,4,5,573,false
gqy,mobile,0.25,4,6,588,true
gqy,mobile,0.25,4,7,689,true
gqy,mobile,0.25,4,8,579,false
gqy,mobile,0.25,4,9,579,true
gqy,mobile,0.25,4,10,540,true
gqy,mobile,0.25,4,11,611,true
gqy,mobile,0.25,4,12,568,false
gqy,mobile,0.25,4,13,566,false
gqy,mobile,0.25,4,14,563,true
gqy,mobile,0.25,4,15,689,true
gqy,mobile,0.25,4,16,574,true
gqy,mobile,0.25,4,17,625,true
gqy,mobile,0.25,4,18,589,true
gqy,mobile,0.50,2,0,0,true
gqy,mobile,0.50,2,1,471,true
gqy,mobile,0.50,2,2,346,true
gqy,mobile,0.50,2,3,468,true
gqy,mobile,0.50,2,4,424,true
gqy,mobile,0.50,2,5,426,true
gqy,mobile,0.50,2,6,393,true
gqy,mobile,0.50,2,7,366,true
gqy,mobile,0.50,2,8,357,true
gqy,mobile,0.50,2,9,343,true
gqy,mobile,0.50,2,10,382,true
gqy,mobile,0.50,2,11,441,true
gqy,mobile,0.50,2,12,352,true
gqy,mobile,0.50,2,13,392,true
gqy,mobile,0.50,2,14,411,true
gqy,mobile,0.50,2,15,350,true
gqy,mobile,0.50,2,16,340,true
gqy,mobile,0.50,2,17,376,true
gqy,mobile,0.50,2,18,350,true
gqy,mobile,0.50,3,0,0,true
gqy,mobile,0.50,3,1,527,true
gqy,mobile,0.50,3,2,448,true
gqy,mobile,0.50,3,3,488,true
gqy,mobile,0.50,3,4,447,true
gqy,mobile,0.50,3,5,450,true
gqy,mobile,0.50,3,6,424,true
gqy,mobile,0.50,3,7,531,true
gqy,mobile,0.50,3,8,443,true
gqy,mobile,0.50,3,9,528,true
gqy,mobile,0.50,3,10,400,true
gqy,mobile,0.50,3,11,529,true
gqy,mobile,0.50,3,12,394,true
gqy,mobile,0.50,3,13,452,true
gqy,mobile,0.50,3,14,409,true
gqy,mobile,0.50,3,15,454,true
gqy,mobile,0.50,3,16,387,true
gqy,mobile,0.50,3,17,509,true
gqy,mobile,0.50,3,18,451,true
gqy,mobile,0.50,4,0,0,true
gqy,mobile,0.50,4,1,398,true
gqy,mobile,0.50,4,2,508,true
gqy,mobile,0.50,4,3,385,true
gqy,mobile,0.50,4,4,468,true
gqy,mobile,0.50,4,5,355,true
gqy,mobile,0.50,4,6,460,true
gqy,mobile,0.50,4,7,348,true
gqy,mobile,0.50,4,8,350,false
gqy,mobile,0.50,4,9,357,true
gqy,mobile,0.50,4,10,503,true
gqy,mobile,0.50,4,11,419,true
gqy,mobile,0.50,4,12,541,true
gqy,mobile,0.50,4,13,404,true
gqy,mobile,0.50,4,14,459,true
gqy,mobile,0.50,4,15,401,true
gqy,mobile,0.50,4,16,479,true
gqy,mobile,0.50,4,17,370,true
gqy,mobile,0.50,4,18,480,true
gqy,mobile,0.75,2,0,0,true
gqy,mobile,0.75,2,1,318,true
gqy,mobile,0.75,2,2,342,true
gqy,mobile,0.75,2,3,324,true
gqy,mobile,0.75,2,4,339,true
gqy,mobile,0.75,2,5,306,true
gqy,mobile,0.75,2,6,355,true
gqy,mobile,0.75,2,7,330,true
gqy,mobile,0.75,2,8,334,true
gqy,mobile,0.75,2,9,338,true
gqy,mobile,0.75,2,10,342,true
gqy,mobile,0.75,2,11,341,true
gqy,mobile,0.75,2,12,353,true
gqy,mobile,0.75,2,13,349,true
gqy,mobile,0.75,2,14,366,true
gqy,mobile,0.75,2,15,350,true
gqy,mobile,0.75,2,16,310,true
gqy,mobile,0.75,2,17,296,true
gqy,mobile,0.75,2,18,271,true
gqy,mobile,0.75,3,0,0,true
gqy,mobile,0.75,3,1,714,true
gqy,mobile,0.75,3,2,384,true
gqy,mobile,0.75,3,3,417,true
gqy,mobile,0.75,3,4,342,true
gqy,mobile,0.75,3,5,335,true
gqy,mobile,0.75,3,6,346,true
gqy,mobile,0.75,3,7,398,true
gqy,mobile,0.75,3,8,361,true
gqy,mobile,0.75,3,9,409,true
gqy,mobile,0.75,3,10,307,true
gqy,mobile,0.75,3,11,448,true
gqy,mobile,0.75,3,12,353,true
gqy,mobile,0.75,3,13,377,true
gqy,mobile,0.75,3,14,355,true
gqy,mobile,0.75,3,15,375,true
gqy,mobile,0.75,3,16,361,true
gqy,mobile,0.75,3,17,411,true
gqy,mobile,0.75,3,18,382,true
gqy,mobile,0.75,4,0,0,true
gqy,mobile,0.75,4,1,408,true
gqy,mobile,0.75,4,2,515,true
gqy,mobile,0.75,4,3,400,true
gqy,mobile,0.75,4,4,442,true
gqy,mobile,0.75,4,5,366,true
gqy,mobile,0.75,4,6,393,true
gqy,mobile,0.75,4,7,400,true
gqy,mobile,0.75,4,8,367,true
gqy,mobile,0.75,4,9,328,true
gqy,mobile,0.75,4,10,424,true
gqy,mobile,0.75,4,11,341,true
gqy,mobile,0.75,4,12,477,true
gqy,mobile,0.75,4,13,393,true
gqy,mobile,0.75,4,14,474,true
gqy,mobile,0.75,4,15,363,true
gqy,mobile,0.75,4,16,386,true
gqy,mobile,0.75,4,17,359,true
gqy,mobile,0.75,4,18,359,true
