Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
hanfengyan,mobile,0.25,2,0,0,true
hanfengyan,mobile,0.25,2,1,574,false
hanfengyan,mobile,0.25,2,2,536,true
hanfengyan,mobile,0.25,2,3,717,true
hanfengyan,mobile,0.25,2,4,549,true
hanfengyan,mobile,0.25,2,5,508,true
hanfengyan,mobile,0.25,2,6,566,true
hanfengyan,mobile,0.25,2,7,496,true
hanfengyan,mobile,0.25,2,8,517,true
hanfengyan,mobile,0.25,2,9,506,true
hanfengyan,mobile,0.25,2,10,484,true
hanfengyan,mobile,0.25,2,11,417,false
hanfengyan,mobile,0.25,2,12,435,true
hanfengyan,mobile,0.25,2,13,515,true
hanfengyan,mobile,0.25,2,14,466,true
hanfengyan,mobile,0.25,2,15,443,true
hanfengyan,mobile,0.25,2,16,482,true
hanfengyan,mobile,0.25,2,17,519,true
hanfengyan,mobile,0.25,2,18,481,true
hanfengyan,mobile,0.25,3,0,0,true
hanfengyan,mobile,0.25,3,1,600,true
hanfengyan,mobile,0.25,3,2,371,true
hanfengyan,mobile,0.25,3,3,447,true
hanfengyan,mobile,0.25,3,4,420,true
hanfengyan,mobile,0.25,3,5,445,true
hanfengyan,mobile,0.25,3,6,387,true
hanfengyan,mobile,0.25,3,7,438,true
hanfengyan,mobile,0.25,3,8,448,false
hanfengyan,mobile,0.25,3,9,427,true
hanfengyan,mobile,0.25,3,10,438,true
hanfengyan,mobile,0.25,3,11,451,true
hanfengyan,mobile,0.25,3,12,415,true
hanfengyan,mobile,0.25,3,13,434,true
hanfengyan,mobile,0.25,3,14,379,true
hanfengyan,mobile,0.25,3,15,497,true
hanfengyan,mobile,0.25,3,16,419,true
hanfengyan,mobile,0.25,3,17,436,true
hanfengyan,mobile,0.25,3,18,389,true
hanfengyan,mobile,0.25,4,0,0,true
hanfengyan,mobile,0.25,4,1,648,false
hanfengyan,mobile,0.25,4,2,659,true
hanfengyan,mobile,0.25,4,3,606,true
hanfengyan,mobile,0.25,4,4,651,true
hanfengyan,mobile,0.25,4,5,552,false
hanfengyan,mobile,0.25,4,6,595,true
hanfengyan,mobile,0.25,4,7,603,false
hanfengyan,mobile,0.25,4,8,543,true
hanfengyan,mobile,0.25,4,9,629,true
hanfengyan,mobile,0.25,4,10,582,true
hanfengyan,mobile,0.25,4,11,567,false
hanfengyan,mobile,0.25,4,12,599,true
hanfengyan,mobile,0.25,4,13,772,false
hanfengyan,mobile,0.25,4,14,616,true
hanfengyan,mobile,0.25,4,15,633,true
hanfengyan,mobile,0.25,4,16,613,true
hanfengyan,mobile,0.25,4,17,672,true
hanfengyan,mobile,0.25,4,18,701,true
hanfengyan,mobile,0.50,2,0,0,true
hanfengyan,mobile,0.50,2,1,463,true
hanfengyan,mobile,0.50,2,2,436,false
hanfengyan,mobile,0.50,2,3,466,true
hanfengyan,mobile,0.50,2,4,510,true
hanfengyan,mobile,0.50,2,5,426,true
hanfengyan,mobile,0.50,2,6,431,true
hanfengyan,mobile,0.50,2,7,411,true
hanfengyan,mobile,0.50,2,8,435,true
hanfengyan,mobile,0.50,2,9,375,true
hanfengyan,mobile,0.50,2,10,409,true
hanfengyan,mobile,0.50,2,11,362,true
hanfengyan,mobile,0.50,2,12,527,true
hanfengyan,mobile,0.50,2,13,400,false
hanfengyan,mobile,0.50,2,14,412,false
hanfengyan,mobile,0.50,2,15,547,true
hanfengyan,mobile,0.50,2,16,570,false
hanfengyan,mobile,0.50,2,17,609,true
hanfengyan,mobile,0.50,2,18,496,true
hanfengyan,mobile,0.50,3,0,0,false
hanfengyan,mobile,0.50,3,1,526,true
hanfengyan,mobile,0.50,3,2,498,true
hanfengyan,mobile,0.50,3,3,505,true
hanfengyan,mobile,0.50,3,4,421,true
hanfengyan,mobile,0.50,3,5,397,true
hanfengyan,mobile,0.50,3,6,429,true
hanfengyan,mobile,0.50,3,7,425,true
hanfengyan,mobile,0.50,3,8,409,true
hanfengyan,mobile,0.50,3,9,405,true
hanfengyan,mobile,0.50,3,10,447,true
hanfengyan,mobile,0.50,3,11,370,true
hanfengyan,mobile,0.50,3,12,413,true
hanfengyan,mobile,0.50,3,13,412,true
hanfengyan,mobile,0.50,3,14,388,true
hanfengyan,mobile,0.50,3,15,395,true
hanfengyan,mobile,0.50,3,16,467,true
hanfengyan,mobile,0.50,3,17,358,true
hanfengyan,mobile,0.50,3,18,415,true
