Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
lmq,mobile,0.25,2,0,0,false
lmq,mobile,0.25,2,1,595,true
lmq,mobile,0.25,2,2,486,true
lmq,mobile,0.25,2,3,561,true
lmq,mobile,0.25,2,4,496,false
lmq,mobile,0.25,2,5,539,false
lmq,mobile,0.25,2,6,581,false
lmq,mobile,0.25,2,7,947,true
lmq,mobile,0.25,2,8,731,true
lmq,mobile,0.25,2,9,824,true
lmq,mobile,0.25,2,10,630,false
lmq,mobile,0.25,2,11,723,false
lmq,mobile,0.25,2,12,719,false
lmq,mobile,0.25,2,13,845,true
lmq,mobile,0.25,2,14,688,false
lmq,mobile,0.25,2,15,675,true
lmq,mobile,0.25,2,16,642,true
lmq,mobile,0.25,2,17,677,true
lmq,mobile,0.25,2,18,563,true
lmq,mobile,0.25,3,0,0,false
lmq,mobile,0.25,3,1,487,false
lmq,mobile,0.25,3,2,809,true
lmq,mobile,0.25,3,3,817,true
lmq,mobile,0.25,3,4,818,true
lmq,mobile,0.25,3,5,649,false
lmq,mobile,0.25,3,6,810,true
lmq,mobile,0.25,3,7,818,true
lmq,mobile,0.25,3,8,895,true
lmq,mobile,0.25,3,9,647,true
lmq,mobile,0.25,3,10,627,true
lmq,mobile,0.25,3,11,607,true
lmq,mobile,0.25,3,12,616,true
lmq,mobile,0.25,3,13,557,true
lmq,mobile,0.25,3,14,670,true
lmq,mobile,0.25,3,15,643,false
lmq,mobile,0.25,3,16,760,true
lmq,mobile,0.25,3,17,544,true
lmq,mobile,0.25,3,18,607,true
lmq,mobile,0.25,4,0,0,true
lmq,mobile,0.25,4,1,572,true
lmq,mobile,0.25,4,2,502,false
lmq,mobile,0.25,4,3,591,true
lmq,mobile,0.25,4,4,486,false
lmq,mobile,0.25,4,5,606,true
lmq,mobile,0.25,4,6,476,false
lmq,mobile,0.25,4,7,609,true
lmq,mobile,0.25,4,8,499,false
lmq,mobile,0.25,4,9,559,true
lmq,mobile,0.25,4,10,482,false
lmq,mobile,0.25,4,11,566,true
lmq,mobile,0.25,4,12,453,false
lmq,mobile,0.25,4,13,544,true
lmq,mobile,0.25,4,14,450,true
lmq,mobile,0.25,4,15,566,true
lmq,mobile,0.25,4,16,476,false
lmq,mobile,0.25,4,17,508,true
lmq,mobile,0.25,4,18,465,false
lmq,mobile,0.50,2,0,0,true
lmq,mobile,0.50,2,1,503,true
lmq,mobile,0.50,2,2,498,true
lmq,mobile,0.50,2,3,451,true
lmq,mobile,0.50,2,4,534,true
lmq,mobile,0.50,2,5,478,true
lmq,mobile,0.50,2,6,539,true
lmq,mobile,0.50,2,7,484,true
lmq,mobile,0.50,2,8,540,true
lmq,mobile,0.50,2,9,518,true
lmq,mobile,0.50,2,10,567,true
lmq,mobile,0.50,2,11,506,true
lmq,mobile,0.50,2,12,519,true
lmq,mobile,0.50,2,13,456,true
lmq,mobile,0.50,2,14,511,true
lmq,mobile,0.50,2,15,453,true
lmq,mobile,0.50,2,16,532,true
lmq,mobile,0.50,2,17,475,true
lmq,mobile,0.50,2,18,482,true
lmq,mobile,0.50,3,0,0,false
lmq,mobile,0.50,3,1,490,true
lmq,mobile,0.50,3,2,435,true
lmq,mobile,0.50,3,3,383,true
lmq,mobile,0.50,3,4,409,true
lmq,mobile,0.50,3,5,402,true
lmq,mobile,0.50,3,6,406,true
lmq,mobile,0.50,3,7,440,true
lmq,mobile,0.50,3,8,436,true
lmq,mobile,0.50,3,9,462,true
lmq,mobile,0.50,3,10,422,true
lmq,mobile,0.50,3,11,405,true
lmq,mobile,0.50,3,12,447,true
lmq,mobile,0.50,3,13,411,true
lmq,mobile,0.50,3,14,412,true
lmq,mobile,0.50,3,15,401,true
lmq,mobile,0.50,3,16,427,true
lmq,mobile,0.50,3,17,431,true
lmq,mobile,0.50,3,18,409,true
lmq,mobile,0.50,4,0,0,true
lmq,mobile,0.50,4,1,699,true
lmq,mobile,0.50,4,2,565,true
lmq,mobile,0.50,4,3,636,true
lmq,mobile,0.50,4,4,605,true
lmq,mobile,0.50,4,5,610,true
lmq,mobile,0.50,4,6,562,true
lmq,mobile,0.50,4,7,660,true
lmq,mobile,0.50,4,8,568,true
lmq,mobile,0.50,4,9,620,true
lmq,mobile,0.50,4,10,536,true
lmq,mobile,0.50,4,11,552,true
lmq,mobile,0.50,4,12,550,true
lmq,mobile,0.50,4,13,550,true
lmq,mobile,0.50,4,14,564,true
lmq,mobile,0.50,4,15,516,true
lmq,mobile,0.50,4,16,503,true
lmq,mobile,0.50,4,17,524,true
lmq,mobile,0.50,4,18,493,true
lmq,mobile,0.75,2,0,0,true
lmq,mobile,0.75,2,1,410,true
lmq,mobile,0.75,2,2,418,true
lmq,mobile,0.75,2,3,434,true
lmq,mobile,0.75,2,4,359,true
lmq,mobile,0.75,2,5,431,true
lmq,mobile,0.75,2,6,401,true
lmq,mobile,0.75,2,7,444,true
lmq,mobile,0.75,2,8,406,true
lmq,mobile,0.75,2,9,418,true
lmq,mobile,0.75,2,10,373,true
lmq,mobile,0.75,2,11,413,true
lmq,mobile,0.75,2,12,397,true
lmq,mobile,0.75,2,13,404,true
lmq,mobile,0.75,2,14,387,true
lmq,mobile,0.75,2,15,419,true
lmq,mobile,0.75,2,16,383,true
lmq,mobile,0.75,2,17,386,true
lmq,mobile,0.75,2,18,398,true
lmq,mobile,0.75,3,0,0,false
lmq,mobile,0.75,3,1,583,true
lmq,mobile,0.75,3,2,531,true
lmq,mobile,0.75,3,3,534,true
lmq,mobile,0.75,3,4,457,true
lmq,mobile,0.75,3,5,506,true
lmq,mobile,0.75,3,6,488,true
lmq,mobile,0.75,3,7,425,true
lmq,mobile,0.75,3,8,472,true
lmq,mobile,0.75,3,9,450,true
lmq,mobile,0.75,3,10,469,true
lmq,mobile,0.75,3,11,402,true
lmq,mobile,0.75,3,12,446,true
lmq,mobile,0.75,3,13,430,true
lmq,mobile,0.75,3,14,441,true
lmq,mobile,0.75,3,15,424,true
lmq,mobile,0.75,3,16,461,true
lmq,mobile,0.75,3,17,447,true
lmq,mobile,0.75,3,18,432,true
lmq,mobile,0.75,4,0,0,true
lmq,mobile,0.75,4,1,383,true
lmq,mobile,0.75,4,2,415,true
lmq,mobile,0.75,4,3,461,true
lmq,mobile,0.75,4,4,374,true
lmq,mobile,0.75,4,5,421,true
lmq,mobile,0.75,4,6,363,true
lmq,mobile,0.75,4,7,400,true
lmq,mobile,0.75,4,8,393,true
lmq,mobile,0.75,4,9,429,true
lmq,mobile,0.75,4,10,379,true
lmq,mobile,0.75,4,11,421,true
lmq,mobile,0.75,4,12,365,true
lmq,mobile,0.75,4,13,420,true
lmq,mobile,0.75,4,14,369,true
lmq,mobile,0.75,4,15,433,true
lmq,mobile,0.75,4,16,404,true
lmq,mobile,0.75,4,17,420,true
lmq,mobile,0.75,4,18,387,true
