Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
wbt,mobile,0.25,2,0,0,false
wbt,mobile,0.25,2,1,650,true
wbt,mobile,0.25,2,2,410,true
wbt,mobile,0.25,2,3,252,true
wbt,mobile,0.25,2,4,280,false
wbt,mobile,0.25,2,5,265,true
wbt,mobile,0.25,2,6,462,false
wbt,mobile,0.25,2,7,364,false
wbt,mobile,0.25,2,8,713,false
wbt,mobile,0.25,2,9,338,false
wbt,mobile,0.25,2,10,603,true
wbt,mobile,0.25,2,11,565,false
wbt,mobile,0.25,2,12,519,true
wbt,mobile,0.25,2,13,658,true
wbt,mobile,0.25,2,14,491,true
wbt,mobile,0.25,2,15,602,true
wbt,mobile,0.25,2,16,529,false
wbt,mobile,0.25,2,17,628,true
wbt,mobile,0.25,2,18,527,true
wbt,mobile,0.25,3,0,0,false
wbt,mobile,0.25,3,1,512,true
wbt,mobile,0.25,3,2,440,true
wbt,mobile,0.25,3,3,468,false
wbt,mobile,0.25,3,4,464,true
wbt,mobile,0.25,3,5,583,true
wbt,mobile,0.25,3,6,401,true
wbt,mobile,0.25,3,7,475,true
wbt,mobile,0.25,3,8,343,true
wbt,mobile,0.25,3,9,433,true
wbt,mobile,0.25,3,10,536,true
wbt,mobile,0.25,3,11,355,true
wbt,mobile,0.25,3,12,408,true
wbt,mobile,0.25,3,13,447,true
wbt,mobile,0.25,3,14,421,false
wbt,mobile,0.25,3,15,409,false
wbt,mobile,0.25,3,16,435,true
wbt,mobile,0.25,3,17,490,false
wbt,mobile,0.25,3,18,505,true
wbt,mobile,0.25,4,0,0,false
wbt,mobile,0.25,4,1,534,true
wbt,mobile,0.25,4,2,475,true
wbt,mobile,0.25,4,3,555,false
wbt,mobile,0.25,4,4,514,true
wbt,mobile,0.25,4,5,570,true
wbt,mobile,0.25,4,6,466,false
wbt,mobile,0.25,4,7,537,false
wbt,mobile,0.25,4,8,500,true
wbt,mobile,0.25,4,9,585,true
wbt,mobile,0.25,4,10,498,false
wbt,mobile,0.25,4,11,534,false
wbt,mobile,0.25,4,12,639,true
wbt,mobile,0.25,4,13,480,true
wbt,mobile,0.25,4,14,582,true
wbt,mobile,0.25,4,15,616,true
wbt,mobile,0.25,4,16,530,true
wbt,mobile,0.25,4,17,523,false
wbt,mobile,0.25,4,18,475,true
wbt,mobile,0.50,2,0,0,true
wbt,mobile,0.50,2,1,537,true
wbt,mobile,0.50,2,2,478,true
wbt,mobile,0.50,2,3,390,true
wbt,mobile,0.50,2,4,437,true
wbt,mobile,0.50,2,5,383,true
wbt,mobile,0.50,2,6,400,true
wbt,mobile,0.50,2,7,405,true
wbt,mobile,0.50,2,8,407,true
wbt,mobile,0.50,2,9,375,true
wbt,mobile,0.50,2,10,372,true
wbt,mobile,0.50,2,11,292,true
wbt,mobile,0.50,2,12,293,true
wbt,mobile,0.50,2,13,259,true
wbt,mobile,0.50,2,14,379,true
wbt,mobile,0.50,2,15,260,true
wbt,mobile,0.50,2,16,286,true
wbt,mobile,0.50,2,17,213,true
wbt,mobile,0.50,2,18,252,true
wbt,mobile,0.50,3,0,0,true
wbt,mobile,0.50,3,1,452,true
wbt,mobile,0.50,3,2,557,true
wbt,mobile,0.50,3,3,430,true
wbt,mobile,0.50,3,4,505,false
wbt,mobile,0.50,3,5,589,true
wbt,mobile,0.50,3,6,454,true
wbt,mobile,0.50,3,7,376,true
wbt,mobile,0.50,3,8,448,true
wbt,mobile,0.50,3,9,379,true
wbt,mobile,0.50,3,10,379,true
wbt,mobile,0.50,3,11,332,true
wbt,mobile,0.50,3,12,361,true
wbt,mobile,0.50,3,13,330,true
wbt,mobile,0.50,3,14,353,true
wbt,mobile,0.50,3,15,375,true
wbt,mobile,0.50,3,16,383,true
wbt,mobile,0.50,3,17,323,true
wbt,mobile,0.50,3,18,422,true
wbt,mobile,0.50,4,0,0,true
wbt,mobile,0.50,4,1,418,true
wbt,mobile,0.50,4,2,505,true
wbt,mobile,0.50,4,3,376,true
wbt,mobile,0.50,4,4,347,true
wbt,mobile,0.50,4,5,423,true
wbt,mobile,0.50,4,6,338,true
wbt,mobile,0.50,4,7,364,true
wbt,mobile,0.50,4,8,282,true
wbt,mobile,0.50,4,9,304,true
wbt,mobile,0.50,4,10,260,false
wbt,mobile,0.50,4,11,267,true
wbt,mobile,0.50,4,12,639,false
wbt,mobile,0.50,4,13,351,true
wbt,mobile,0.50,4,14,517,true
wbt,mobile,0.50,4,15,438,true
wbt,mobile,0.50,4,16,470,true
wbt,mobile,0.50,4,17,455,true
wbt,mobile,0.50,4,18,478,true
wbt,mobile,0.75,2,0,0,true
wbt,mobile,0.75,2,1,225,true
wbt,mobile,0.75,2,2,278,true
wbt,mobile,0.75,2,3,246,true
wbt,mobile,0.75,2,4,246,true
wbt,mobile,0.75,2,5,302,true
wbt,mobile,0.75,2,6,214,true
wbt,mobile,0.75,2,7,261,true
wbt,mobile,0.75,2,8,234,true
wbt,mobile,0.75,2,9,203,true
wbt,mobile,0.75,2,10,215,true
wbt,mobile,0.75,2,11,182,true
wbt,mobile,0.75,2,12,227,true
wbt,mobile,0.75,2,13,209,true
wbt,mobile,0.75,2,14,246,true
wbt,mobile,0.75,2,15,195,true
wbt,mobile,0.75,2,16,247,true
wbt,mobile,0.75,2,17,215,true
wbt,mobile,0.75,2,18,231,true
wbt,mobile,0.75,3,0,0,true
wbt,mobile,0.75,3,1,367,true
wbt,mobile,0.75,3,2,283,true
wbt,mobile,0.75,3,3,282,true
wbt,mobile,0.75,3,4,240,true
wbt,mobile,0.75,3,5,229,true
wbt,mobile,0.75,3,6,211,true
wbt,mobile,0.75,3,7,242,true
wbt,mobile,0.75,3,8,205,true
wbt,mobile,0.75,3,9,222,true
wbt,mobile,0.75,3,10,189,true
wbt,mobile,0.75,3,11,260,true
wbt,mobile,0.75,3,12,208,true
wbt,mobile,0.75,3,13,228,true
wbt,mobile,0.75,3,14,216,true
wbt,mobile,0.75,3,15,218,true
wbt,mobile,0.75,3,16,232,true
wbt,mobile,0.75,3,17,256,true
wbt,mobile,0.75,3,18,213,true
wbt,mobile,0.75,4,0,0,false
wbt,mobile,0.75,4,1,869,true
wbt,mobile,0.75,4,2,461,true
wbt,mobile,0.75,4,3,416,false
wbt,mobile,0.75,4,4,246,true
wbt,mobile,0.75,4,5,407,false
wbt,mobile,0.75,4,6,220,true
wbt,mobile,0.75,4,7,431,true
wbt,mobile,0.75,4,8,229,true
wbt,mobile,0.75,4,9,352,false
wbt,mobile,0.75,4,10,338,true
wbt,mobile,0.75,4,11,425,true
wbt,mobile,0.75,4,12,321,true
wbt,mobile,0.75,4,13,470,true
wbt,mobile,0.75,4,14,411,true
wbt,mobile,0.75,4,15,355,true
wbt,mobile,0.75,4,16,304,true
wbt,mobile,0.75,4,17,381,true
wbt,mobile,0.75,4,18,286,true
