Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
gqy,mouse,0.25,2,0,0,true
gqy,mouse,0.25,2,1,656,true
gqy,mouse,0.25,2,2,602,false
gqy,mouse,0.25,2,3,1200,false
gqy,mouse,0.25,2,4,1025,false
gqy,mouse,0.25,2,5,670,true
gqy,mouse,0.25,2,6,639,true
gqy,mouse,0.25,2,7,1089,true
gqy,mouse,0.25,2,8,849,true
gqy,mouse,0.25,2,9,1263,true
gqy,mouse,0.25,2,10,928,true
gqy,mouse,0.25,2,11,744,true
gqy,mouse,0.25,2,12,801,false
gqy,mouse,0.25,2,13,1152,true
gqy,mouse,0.25,2,14,968,true
gqy,mouse,0.25,2,15,657,true
gqy,mouse,0.25,2,16,959,true
gqy,mouse,0.25,2,17,1000,true
gqy,mouse,0.25,2,18,968,false
gqy,mouse,0.25,3,0,0,true
gqy,mouse,0.25,3,1,672,true
gqy,mouse,0.25,3,2,674,true
gqy,mouse,0.25,3,3,1415,true
gqy,mouse,0.25,3,4,759,true
gqy,mouse,0.25,3,5,625,true
gqy,mouse,0.25,3,6,784,true
gqy,mouse,0.25,3,7,752,false
gqy,mouse,0.25,3,8,793,true
gqy,mouse,0.25,3,9,1135,true
gqy,mouse,0.25,3,10,736,true
gqy,mouse,0.25,3,11,680,true
gqy,mouse,0.25,3,12,1585,false
gqy,mouse,0.25,3,13,577,true
gqy,mouse,0.25,3,14,935,true
gqy,mouse,0.25,3,15,736,true
gqy,mouse,0.25,3,16,920,true
gqy,mouse,0.25,3,17,600,false
gqy,mouse,0.25,3,18,688,true
gqy,mouse,0.25,4,0,0,true
gqy,mouse,0.25,4,1,912,true
gqy,mouse,0.25,4,2,976,true
gqy,mouse,0.25,4,3,753,true
gqy,mouse,0.25,4,4,896,true
gqy,mouse,0.25,4,5,839,true
gqy,mouse,0.25,4,6,888,true
gqy,mouse,0.25,4,7,784,true
gqy,mouse,0.25,4,8,720,true
gqy,mouse,0.25,4,9,865,false
gqy,mouse,0.25,4,10,1192,true
gqy,mouse,0.25,4,11,824,true
