Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
hct,mouse,0.25,2,0,0,true
hct,mouse,0.25,2,1,683,true
hct,mouse,0.25,2,2,678,true
hct,mouse,0.25,2,3,705,true
hct,mouse,0.25,2,4,824,true
hct,mouse,0.25,2,5,664,true
hct,mouse,0.25,2,6,695,true
hct,mouse,0.25,2,7,769,true
hct,mouse,0.25,2,8,688,true
hct,mouse,0.25,2,9,633,false
hct,mouse,0.25,2,10,951,true
hct,mouse,0.25,2,11,867,true
hct,mouse,0.25,2,12,638,true
hct,mouse,0.25,2,13,775,true
hct,mouse,0.25,2,14,776,true
hct,mouse,0.25,2,15,753,true
hct,mouse,0.25,2,16,759,true
hct,mouse,0.25,2,17,640,true
hct,mouse,0.25,2,18,713,true
hct,mouse,0.25,3,0,0,true
hct,mouse,0.25,3,1,745,true
hct,mouse,0.25,3,2,839,true
hct,mouse,0.25,3,3,715,true
hct,mouse,0.25,3,4,792,true
hct,mouse,0.25,3,5,749,true
hct,mouse,0.25,3,6,657,true
hct,mouse,0.25,3,7,760,true
hct,mouse,0.25,3,8,769,true
hct,mouse,0.25,3,9,759,true
hct,mouse,0.25,3,10,1147,true
hct,mouse,0.25,3,11,773,true
hct,mouse,0.25,3,12,744,true
hct,mouse,0.25,3,13,921,true
hct,mouse,0.25,3,14,802,true
hct,mouse,0.25,3,15,669,true
hct,mouse,0.25,3,16,635,true
hct,mouse,0.25,3,17,670,true
hct,mouse,0.25,3,18,672,true
hct,mouse,0.25,4,0,0,true
hct,mouse,0.25,4,1,895,true
hct,mouse,0.25,4,2,905,true
hct,mouse,0.25,4,3,846,true
hct,mouse,0.25,4,4,760,true
hct,mouse,0.25,4,5,769,true
hct,mouse,0.25,4,6,1048,true
hct,mouse,0.25,4,7,840,true
hct,mouse,0.25,4,8,984,true
hct,mouse,0.25,4,9,936,false
hct,mouse,0.25,4,10,872,true
hct,mouse,0.25,4,11,881,true
hct,mouse,0.25,4,12,882,true
hct,mouse,0.25,4,13,1013,true
hct,mouse,0.25,4,14,752,true
hct,mouse,0.25,4,15,937,true
hct,mouse,0.25,4,16,1128,true
hct,mouse,0.25,4,17,1080,true
hct,mouse,0.25,4,18,794,true
hct,mouse,0.50,2,0,0,true
hct,mouse,0.50,2,1,527,true
hct,mouse,0.50,2,2,472,true
hct,mouse,0.50,2,3,441,true
hct,mouse,0.50,2,4,551,true
hct,mouse,0.50,2,5,456,true
hct,mouse,0.50,2,6,432,true
hct,mouse,0.50,2,7,537,true
hct,mouse,0.50,2,8,473,true
hct,mouse,0.50,2,9,495,true
hct,mouse,0.50,2,10,455,true
hct,mouse,0.50,2,11,450,true
hct,mouse,0.50,2,12,449,true
hct,mouse,0.50,2,13,630,true
hct,mouse,0.50,2,14,504,false
hct,mouse,0.50,2,15,519,true
hct,mouse,0.50,2,16,488,true
hct,mouse,0.50,2,17,460,true
hct,mouse,0.50,2,18,565,true
hct,mouse,0.50,3,0,0,true
hct,mouse,0.50,3,1,610,true
hct,mouse,0.50,3,2,638,true
hct,mouse,0.50,3,3,618,true
hct,mouse,0.50,3,4,471,true
hct,mouse,0.50,3,5,543,true
hct,mouse,0.50,3,6,505,true
hct,mouse,0.50,3,7,519,true
hct,mouse,0.50,3,8,466,false
hct,mouse,0.50,3,9,799,true
hct,mouse,0.50,3,10,554,true
hct,mouse,0.50,3,11,535,true
hct,mouse,0.50,3,12,511,true
hct,mouse,0.50,3,13,603,true
hct,mouse,0.50,3,14,621,true
hct,mouse,0.50,3,15,480,true
hct,mouse,0.50,3,16,520,true
hct,mouse,0.50,3,17,609,true
hct,mouse,0.50,3,18,560,true
hct,mouse,0.50,4,0,0,true
hct,mouse,0.50,4,1,680,true
hct,mouse,0.50,4,2,682,true
hct,mouse,0.50,4,3,726,true
hct,mouse,0.50,4,4,554,true
hct,mouse,0.50,4,5,637,true
hct,mouse,0.50,4,6,537,true
hct,mouse,0.50,4,7,584,true
hct,mouse,0.50,4,8,641,true
hct,mouse,0.50,4,9,666,true
hct,mouse,0.50,4,10,670,true
hct,mouse,0.50,4,11,696,true
hct,mouse,0.50,4,12,1023,true
hct,mouse,0.50,4,13,745,true
hct,mouse,0.50,4,14,687,true
hct,mouse,0.50,4,15,712,true
hct,mouse,0.50,4,16,650,true
hct,mouse,0.50,4,17,599,false
hct,mouse,0.50,4,18,705,true
hct,mouse,0.75,2,0,0,true
hct,mouse,0.75,2,1,504,true
hct,mouse,0.75,2,2,440,true
hct,mouse,0.75,2,3,482,true
hct,mouse,0.75,2,4,433,true
hct,mouse,0.75,2,5,423,true
hct,mouse,0.75,2,6,430,true
hct,mouse,0.75,2,7,441,true
hct,mouse,0.75,2,8,431,true
hct,mouse,0.75,2,9,465,true
hct,mouse,0.75,2,10,473,true
hct,mouse,0.75,2,11,415,true
hct,mouse,0.75,2,12,449,true
hct,mouse,0.75,2,13,430,true
hct,mouse,0.75,2,14,433,true
hct,mouse,0.75,2,15,417,true
hct,mouse,0.75,2,16,463,true
hct,mouse,0.75,2,17,473,true
hct,mouse,0.75,2,18,439,true
