Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
wbt,mouse,0.25,2,0,0,true
wbt,mouse,0.25,2,1,864,true
wbt,mouse,0.25,2,2,744,false
wbt,mouse,0.25,2,3,737,false
wbt,mouse,0.25,2,4,912,true
wbt,mouse,0.25,2,5,928,true
wbt,mouse,0.25,2,6,768,true
wbt,mouse,0.25,2,7,816,false
wbt,mouse,0.25,2,8,648,true
wbt,mouse,0.25,2,9,656,true
wbt,mouse,0.25,2,10,856,true
wbt,mouse,0.25,2,11,640,true
wbt,mouse,0.25,2,12,848,true
wbt,mouse,0.25,2,13,721,true
wbt,mouse,0.25,2,14,647,false
wbt,mouse,0.25,2,15,832,false
wbt,mouse,0.25,2,16,745,true
wbt,mouse,0.25,2,17,681,true
wbt,mouse,0.25,2,18,799,true
wbt,mouse,0.25,3,0,0,true
wbt,mouse,0.25,3,1,791,true
wbt,mouse,0.25,3,2,729,true
wbt,mouse,0.25,3,3,760,true
wbt,mouse,0.25,3,4,736,true
wbt,mouse,0.25,3,5,679,true
wbt,mouse,0.25,3,6,682,true
wbt,mouse,0.25,3,7,695,true
wbt,mouse,0.25,3,8,848,true
wbt,mouse,0.25,3,9,616,true
wbt,mouse,0.25,3,10,824,true
wbt,mouse,0.25,3,11,664,true
wbt,mouse,0.25,3,12,857,false
wbt,mouse,0.25,3,13,848,true
wbt,mouse,0.25,3,14,1135,true
wbt,mouse,0.25,3,15,880,true
wbt,mouse,0.25,3,16,936,true
wbt,mouse,0.25,3,17,688,true
wbt,mouse,0.25,3,18,625,true
wbt,mouse,0.25,4,0,0,true
wbt,mouse,0.25,4,1,785,true
wbt,mouse,0.25,4,2,903,true
wbt,mouse,0.25,4,3,889,true
wbt,mouse,0.25,4,4,769,true
wbt,mouse,0.25,4,5,511,true
wbt,mouse,0.25,4,6,544,true
wbt,mouse,0.25,4,7,634,true
wbt,mouse,0.25,4,8,734,false
wbt,mouse,0.25,4,9,697,false
wbt,mouse,0.25,4,10,753,true
wbt,mouse,0.25,4,11,606,true
wbt,mouse,0.25,4,12,690,true
wbt,mouse,0.25,4,13,663,true
wbt,mouse,0.25,4,14,735,true
wbt,mouse,0.25,4,15,632,true
wbt,mouse,0.25,4,16,688,true
wbt,mouse,0.25,4,17,649,true
wbt,mouse,0.25,4,18,704,true
wbt,mouse,0.50,2,0,0,true
wbt,mouse,0.50,2,1,625,true
wbt,mouse,0.50,2,2,504,false
wbt,mouse,0.50,2,3,831,true
wbt,mouse,0.50,2,4,728,true
wbt,mouse,0.50,2,5,705,true
wbt,mouse,0.50,2,6,631,false
wbt,mouse,0.50,2,7,521,true
wbt,mouse,0.50,2,8,760,true
wbt,mouse,0.50,2,9,464,true
wbt,mouse,0.50,2,10,609,true
wbt,mouse,0.50,2,11,583,true
wbt,mouse,0.50,2,12,552,true
wbt,mouse,0.50,2,13,751,true
wbt,mouse,0.50,2,14,649,true
wbt,mouse,0.50,2,15,664,true
wbt,mouse,0.50,2,16,616,true
wbt,mouse,0.50,2,17,536,true
wbt,mouse,0.50,2,18,856,true
wbt,mouse,0.50,3,0,0,true
wbt,mouse,0.50,3,1,640,true
wbt,mouse,0.50,3,2,760,true
wbt,mouse,0.50,3,3,897,true
wbt,mouse,0.50,3,4,559,true
wbt,mouse,0.50,3,5,600,true
wbt,mouse,0.50,3,6,568,true
wbt,mouse,0.50,3,7,729,true
wbt,mouse,0.50,3,8,583,true
wbt,mouse,0.50,3,9,721,true
wbt,mouse,0.50,3,10,559,true
wbt,mouse,0.50,3,11,777,true
